"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","VULNERABLE_ROAD_USER_COUNT","VULNERABLE_ROAD_USER_DEATH_COUNT","VULNERABLE_ROAD_USER_SER_INJ_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021102824","1552","1","0","0","0","0","0","0","0","0","1","0","","67","10","2021","7","39.908306","-75.146917","1552","6","0","1","0","0","0","1","0","0","","0","0","0","15","1","1","N","0","2","39 54:29.900","4","3","75 08:48.900","8","0","0","0","67301","0","0","0","N","0","0","0","2","67501","0","","1.0","1620.0","1","N","N","N","0","","0","0","1","3","8","N","1552","2","1","0","0","0","1","0","2","0","2","0","0","0","3","","","N","","","","","","","","","",""
"2021120637","1057","0","0","0","0","0","0","0","0","0","8","0","","67","12","2021","2","39.998768","-75.131259","1051","6","0","0","0","0","0","0","0","0","","0","0","0","10","1","1","","1","0","39 59:55.564","","0","75 07:52.533","3","0","0","0","67301","1","0","0","N","1","0","0","2","67301","0","","1.0","","1","N","N","N","0","","1","0","0","3","2","","1040","2","1","0","0","0","0","0","2","0","1","1","0","0","3","03","","N","","","","","","","","","",""
"2021116762","1201","2","0","0","0","0","0","0","0","0","4","0","","67","11","2021","2","39.970275","-75.217878","1200","6","0","0","0","0","0","1","0","0","","0","0","0","16","4","1","","2","0","39 58:12.990","","0","75 13:04.360","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","1","0","0","2","3","","1630","2","1","0","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021119432","0912","1","0","0","0","0","0","0","0","0","4","0","","67","12","2021","2","39.946551","-75.221697","0912","6","0","0","0","0","0","0","0","0","","0","0","0","14","1","1","","1","0","39 56:47.583","","0","75 13:18.109","3","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","0","","1","0","1","3","3","","1400","2","1","0","0","0","0","0","2","0","2","0","0","0","3","","","N","","","","","","","","","",""
"2021102536","1930","2","0","0","0","0","0","0","0","0","1","0","","67","9","2021","4","40.012635","-75.150396","1930","6","0","0","0","0","0","0","0","0","","0","0","0","15","1","1","N","0","0","40 00:45.485","","0","75 09:01.424","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","1","0","0","0","0","","1540","2","1","2","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021128060","0258","1","0","0","0","0","0","0","0","0","7","0","","67","12","2021","7","39.948803","-75.143975","0255","6","0","0","0","0","0","0","0","0","","0","0","0","2","3","0","N","0","0","39 56:55.690","","0","75 08:38.310","9","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","9.0","","99","N","N","N","0","","0","0","0","0","0","","250","1","0","0","0","0","0","1","2","0","1","0","0","0","7","07","","N","","","","","","","","","",""
"2021118439","1744","2","0","0","0","0","0","0","0","0","4","0","","67","12","2021","6","40.037504","-75.210401","1740","6","0","1","0","0","0","0","0","0","","0","0","0","17","3","0","","2","0","40 02:15.016","","0","75 12:37.445","0","0","0","0","67301","0","0","0","N","0","0","0","4","67301","0","","1.0","","1","N","N","N","0","","0","0","0","3","2","","1739","2","0","0","0","0","0","0","2","0","2","0","0","0","3","03","","N","","","","","","","","","",""
"2021119201","1620","2","0","0","0","0","0","0","0","0","4","0","","67","12","2021","6","40.034076","-75.12402","1613","6","0","0","0","0","0","1","0","0","","0","0","0","15","1","0","","1","0","40 02:02.673","","0","75 07:26.472","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","0","0","0","3","3","","1545","2","0","0","0","0","0","0","2","0","2","0","0","0","3","","","N","","","","","","","","","",""
"2021127195","0430","2","0","0","0","0","0","0","0","0","5","1","","67","12","2021","1","39.988","-75.225594","0429","6","0","0","0","0","0","0","0","0","","0","1","0","23","3","0","N","0","0","39 59:16.800","","0","75 13:32.140","9","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","6.0","","1","N","N","N","0","","0","0","0","0","0","","2350","3","0","0","0","0","0","1","2","0","3","0","0","0","3","03","","N","","","","","","","","","",""
"2021119671","0816","1","0","0","0","0","0","0","0","0","4","0","","67","12","2021","2","39.944708","-75.217178","0725","6","0","0","0","0","0","0","0","0","","0","0","0","6","3","1","","2","0","39 56:40.948","","0","75 13:01.840","3","0","0","1","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","9","N","N","N","0","","1","0","0","3","3","","645","2","1","0","0","0","0","0","2","0","2","0","0","0","7","07","","N","","","","","","","","","",""
